# junction, ctrl, cpw1, cpw2, cpw3
115.226,-0.150,-4.323,-4.353,-4.350
-0.150,203.097,-0.155,-0.015,-0.017
-4.323,-0.155,181.583,-0.233,-0.061
-4.353,-0.015,-0.233,183.722,-0.234
-4.350,-0.017,-0.061,-0.234,184.450
