# junction, ctrl, cpw1, cpw2, cpw3
107.677,-0.161,-4.591,-4.599,-4.591
-0.161,205.059,-0.172,-0.020,-0.024
-4.591,-0.172,188.247,-0.278,-0.078
-4.599,-0.020,-0.278,188.096,-0.274
-4.591,-0.024,-0.078,-0.274,188.211
