Units: fF
cpw1,cpw2,cpw3,cross,ctrl
1.882469467849937E+02,-2.780090511319682E-01,-7.792935387055568E-02,-4.591442040479711E+00,-1.718178540236766E-01
-2.780090511319682E-01,1.880963917608169E+02,-2.738250524796668E-01,-4.598806991956087E+00,-2.046039847828285E-02
-7.792935387055568E-02,-2.738250524796668E-01,1.882109377203400E+02,-4.590738156100542E+00,-2.421912703405850E-02
-4.591442040479711E+00,-4.598806991956087E+00,-4.590738156100542E+00,1.076765290971247E+02,-1.610245102235091E-01
-1.718178540236766E-01,-2.046039847828285E-02,-2.421912703405850E-02,-1.610245102235091E-01,2.050592904029661E+02
